Cs,Hs,Ns,Os,Ss,C,N,O,P,S,n,nC,single,double,nN,single,double,nO,single,double,nP,single,double,nS,single,double,nH,charge,ring,ring3,ring4,ring5,ring6,aromatic,several,OH,O,O3,H2O2,dose,Y,
16,15,5,7,2,1,0,0,0,0,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.2,0.6,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0.2,1,
16,15,5,7,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0.9,
16,15,5,7,2,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2,1,
16,15,5,7,2,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0.2,1,
16,15,5,7,2,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.2,0.2,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0.5,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0.2,0.2,
16,15,5,7,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0.9,
16,15,5,7,2,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0.4,0.2,
16,15,5,7,2,1,0,0,0,0,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.4,0.8,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0.4,0.4,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0.4,0.8,
16,15,5,7,2,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,2,0,1,0,0,0.4,0.1,
16,15,5,7,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.4,0.9,
16,15,5,7,2,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.4,1,
16,15,5,7,2,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0.4,1,
